Computer Time,Arduino Millis,BME680_IAQ,BME680_Accuracy,BME680_Temperature_C,BME680_Humidity_Percent,BME680_CO2_ppm,BME680_VOC,BME680_Pressure_hPa,BME680_Gas_Ohms,BME280_Temperature_C,BME280_Humidity_Percent,BME280_Pressure_hPa,BME280_Altitude_m,ENS160_AQI,ENS160_TVOC_ppb,ENS160_eCO2_ppm,ENS160_HP0_Ohms,ENS160_HP1_Ohms,ENS160_HP2_Ohms,ENS160_HP3_Ohms,AHT21_Temperature_C,AHT21_Humidity_Percent
2026-06-07 12:47:34,2628,61.61,0,17.60,54.05,688.81,0.77,999.08,138315,17.44,48.42,999.20,152.87,1,24,400,23750,1,9871,19709,18.04,48.79
2026-06-07 12:47:38,6712,61.61,0,17.61,53.85,688.94,0.77,999.09,123708,17.50,49.35,999.19,152.89,1,1,400,28262,1,12719,23486,18.07,48.91
2026-06-07 12:47:41,10114,61.64,0,17.63,53.75,689.36,0.77,999.10,126606,17.52,48.78,999.20,152.86,1,15,400,30499,1,14333,26574,18.17,48.92
2026-06-07 12:47:45,13515,61.69,0,17.65,53.57,690.12,0.77,999.09,130655,17.49,48.78,999.25,152.44,1,4,400,32458,1,15779,28999,18.18,49.00
2026-06-07 12:47:48,16917,61.75,0,17.63,53.50,691.16,0.77,999.12,134322,17.38,48.28,999.22,152.71,1,25,402,34497,1,17028,30747,18.15,48.66
2026-06-07 12:47:51,20319,61.83,0,17.56,53.33,692.37,0.77,999.10,139933,17.24,49.33,999.25,152.45,1,12,400,36184,1,18569,33712,18.10,49.40
2026-06-07 12:47:55,23720,61.91,0,17.52,53.68,693.69,0.78,999.10,143654,17.09,50.16,999.25,152.54,1,9,400,37786,1,19709,35709,18.07,49.21
2026-06-07 12:47:58,27122,61.99,0,17.47,53.88,695.06,0.78,999.12,147059,16.96,50.55,999.28,152.15,1,22,400,39047,1,20756,36565,18.02,49.57
2026-06-07 12:48:02,30524,62.08,0,17.44,53.99,696.45,0.78,999.14,149687,16.83,50.88,999.24,152.47,1,15,400,40610,1,22068,38744,17.98,49.72
2026-06-07 12:48:05,33926,62.15,0,17.35,54.18,697.72,0.78,999.13,153670,16.71,51.25,999.31,151.88,1,26,404,41880,1,22843,38718,18.01,49.94
2026-06-07 12:48:08,37327,62.23,0,17.30,54.39,698.92,0.78,999.13,156250,16.58,51.86,999.27,152.23,1,30,414,42667,1,24130,40295,18.01,50.23
2026-06-07 12:48:12,40729,62.30,0,17.28,54.58,700.05,0.79,999.14,158467,16.53,52.27,999.28,152.13,1,19,400,43690,1,24995,41838,18.04,50.56
2026-06-07 12:48:15,44131,62.37,0,17.28,54.82,701.19,0.79,999.12,159676,16.47,53.33,999.28,152.18,1,16,400,44391,1,25637,42870,18.07,50.93
2026-06-07 12:48:19,47533,62.44,0,17.28,55.16,702.34,0.79,999.15,160749,16.48,53.38,999.30,152.20,1,20,400,45347,1,26288,43161,18.15,51.03
2026-06-07 12:48:22,50934,62.50,0,17.30,55.20,703.35,0.79,999.13,162621,16.55,52.54,999.27,152.22,1,27,408,45997,1,27009,42740,18.25,50.68
2026-06-07 12:48:25,54336,62.57,0,17.35,54.83,704.50,0.79,999.11,162938,16.62,52.01,999.25,152.40,1,28,411,46403,1,27854,43484,18.38,50.36
2026-06-07 12:48:29,57738,62.64,0,17.36,54.49,705.68,0.80,999.11,163734,16.71,51.73,999.28,152.20,1,17,400,46703,1,28454,44662,18.45,49.97
2026-06-07 12:48:32,61139,62.70,0,17.39,54.19,706.64,0.80,999.11,165514,16.78,51.34,999.31,151.94,1,22,400,46940,1,28784,44874,18.56,49.62
2026-06-07 12:48:36,64541,62.74,0,17.41,53.88,707.24,0.80,999.11,167836,16.84,50.71,999.26,152.35,1,28,411,47068,1,28706,44738,18.67,49.39
2026-06-07 12:48:39,67943,62.77,0,17.44,53.78,707.76,0.80,999.13,169021,16.90,51.36,999.22,152.71,1,36,428,46734,1,29464,44032,18.78,49.58
2026-06-07 12:48:42,71345,62.81,0,17.43,54.08,708.37,0.80,999.10,169534,16.94,51.86,999.23,152.61,1,32,419,47355,1,29554,44406,18.84,49.55
2026-06-07 12:48:46,74746,62.85,0,17.45,54.43,709.02,0.80,999.11,170051,16.98,52.01,999.22,152.64,1,25,403,47468,1,29574,45087,18.95,49.53
2026-06-07 12:48:49,78148,62.90,0,17.45,54.87,709.85,0.80,999.10,170051,17.03,52.76,999.26,152.32,1,32,419,47371,1,30334,44617,19.02,49.74
2026-06-07 12:48:53,81550,62.96,0,17.46,55.20,710.82,0.81,999.11,170051,17.06,52.89,999.29,152.10,1,31,416,47419,1,30396,44707,19.14,49.64
2026-06-07 12:48:56,84952,63.04,0,17.47,55.10,712.18,0.81,999.07,169534,17.09,52.37,999.24,152.53,1,31,417,48392,1,30810,44617,19.21,49.27
2026-06-07 12:48:59,88353,63.06,0,17.48,54.93,712.53,0.81,999.06,171795,17.11,51.68,999.26,152.35,1,27,408,48458,1,31495,45517,19.34,48.87
2026-06-07 12:49:03,91755,63.08,0,17.49,54.78,712.71,0.81,999.07,172680,17.13,51.45,999.24,152.51,1,20,400,48622,1,31634,46262,19.35,48.87
2026-06-07 12:49:06,95157,63.08,0,17.51,54.77,712.78,0.81,999.08,173395,17.15,51.87,999.24,152.54,1,28,410,49402,1,31989,45810,19.42,48.77
2026-06-07 12:49:10,98558,63.11,0,17.51,54.92,713.24,0.81,999.07,173216,17.12,52.11,999.24,152.52,1,44,444,49452,1,31698,44331,19.49,48.71
2026-06-07 12:49:13,101960,63.16,0,17.52,55.01,714.00,0.81,999.08,173037,17.09,52.43,999.25,152.40,1,39,434,49889,1,32425,44753,19.57,48.73
2026-06-07 12:49:16,105362,63.22,0,17.55,55.12,714.98,0.81,999.08,172859,17.14,52.38,999.29,152.09,1,40,437,50262,1,32845,44571,19.70,48.44
2026-06-07 12:49:20,108764,63.34,0,17.58,55.27,717.05,0.82,999.10,171443,17.17,52.43,999.24,152.54,1,44,444,48803,1,32283,44241,19.79,48.36
2026-06-07 12:49:23,112165,63.43,0,17.53,55.47,718.42,0.82,999.09,172148,17.08,51.40,999.24,152.53,1,19,400,50398,1,33372,46624,19.77,47.73
2026-06-07 12:49:27,115567,63.32,0,17.52,55.09,716.71,0.82,999.10,175945,16.98,51.54,999.22,152.68,1,33,421,50740,1,33372,47115,19.73,47.59
2026-06-07 12:49:30,118969,63.21,0,17.47,54.90,714.86,0.81,999.12,177061,16.85,50.62,999.27,152.27,1,22,400,52062,1,34979,48638,19.62,46.82
2026-06-07 12:49:33,122371,63.00,0,17.43,54.54,711.47,0.81,999.14,179721,16.73,51.02,999.27,152.27,1,27,409,52451,1,35205,49085,19.62,46.57
2026-06-07 12:49:37,125772,62.71,0,17.36,54.33,706.69,0.80,999.10,182462,16.61,50.58,999.28,152.17,1,19,400,53419,1,35673,50058,19.46,46.22
2026-06-07 12:49:40,129174,62.37,0,17.35,53.87,701.24,0.79,999.11,184675,16.54,50.27,999.30,152.01,1,21,400,55183,1,36888,50740,19.42,45.86
2026-06-07 12:49:44,132576,62.10,0,17.36,53.36,696.86,0.78,999.13,185275,16.49,49.62,999.26,152.37,1,29,413,55333,1,38016,50177,19.39,45.19
2026-06-07 12:49:47,135979,61.86,0,17.38,52.79,693.00,0.77,999.11,186112,16.50,49.63,999.23,152.59,1,23,400,55015,1,37965,51397,19.47,45.24
2026-06-07 12:49:50,139380,61.72,0,17.40,52.80,690.61,0.77,999.12,185797,16.59,51.32,999.25,152.39,1,46,448,54959,1,37926,49135,19.59,46.03
2026-06-07 12:49:54,142782,60.83,0,17.39,53.32,676.16,0.75,999.11,188025,16.63,51.25,999.24,152.53,1,39,433,54774,1,37824,49821,19.60,45.72
2026-06-07 12:49:57,146184,60.33,0,17.36,53.41,668.09,0.73,999.10,186958,16.66,50.54,999.23,152.57,1,30,415,55034,1,38055,50603,19.49,45.33
2026-06-07 12:50:01,149585,59.56,0,17.33,53.47,662.18,0.71,999.06,188348,16.67,51.28,999.21,152.73,1,34,423,54885,1,38132,50228,19.32,45.82
2026-06-07 12:50:04,152987,59.17,0,17.33,53.66,659.69,0.70,999.06,187918,16.66,51.13,999.18,153.01,1,39,434,55277,1,38236,49720,19.25,45.70
2026-06-07 12:50:07,156389,58.73,0,17.32,53.83,656.82,0.69,999.04,188455,16.70,51.45,999.20,152.86,1,36,427,54997,1,39060,49990,19.30,45.82
2026-06-07 12:50:11,159791,59.00,0,17.33,53.97,658.57,0.70,999.04,186746,16.75,51.84,999.25,152.44,1,33,421,55408,1,38796,50262,19.41,46.31
2026-06-07 12:50:14,163192,58.84,0,17.31,54.25,657.50,0.69,999.06,187704,16.78,51.88,999.20,152.85,1,36,428,54904,1,39086,49889,19.48,46.34
2026-06-07 12:50:18,166594,58.83,0,17.34,54.40,657.45,0.69,999.08,187277,16.79,52.16,999.22,152.66,1,41,438,55127,1,38522,49368,19.52,46.57
2026-06-07 12:50:21,169996,59.15,0,17.33,54.64,659.56,0.70,999.07,186218,16.79,52.52,999.25,152.32,1,37,430,54626,1,38613,49737,19.48,46.65
2026-06-07 12:50:24,173398,59.33,0,17.33,54.84,660.74,0.71,999.09,186218,16.74,52.45,999.24,152.47,1,36,428,55071,1,39606,49821,19.48,46.72
