Computer Time,Arduino Millis,BME680_IAQ,BME680_Accuracy,BME680_Temperature_C,BME680_Humidity_Percent,BME680_CO2_ppm,BME680_VOC,BME680_Pressure_hPa,BME680_Gas_Ohms,BME280_Temperature_C,BME280_Humidity_Percent,BME280_Pressure_hPa,BME280_Altitude_m,ENS160_AQI,ENS160_TVOC_ppb,ENS160_eCO2_ppm,ENS160_HP0_Ohms,ENS160_HP1_Ohms,ENS160_HP2_Ohms,ENS160_HP3_Ohms,AHT21_Temperature_C,AHT21_Humidity_Percent
2026-06-07 11:22:11,2628,101.71,0,34.24,14.25,1093.75,1.92,998.40,83810,28.47,25.53,998.54,158.42,1,24,400,33815,1,19823,30530,33.14,23.57
2026-06-07 11:22:15,6714,101.72,0,34.20,15.80,1093.83,1.92,998.40,78032,29.03,24.71,998.55,158.34,2,69,494,34486,1,20596,31903,33.48,23.06
2026-06-07 11:22:18,10116,101.74,0,34.25,17.15,1094.09,1.92,998.37,79213,29.34,24.19,998.53,158.48,1,52,461,34439,1,20905,32338,33.81,22.73
2026-06-07 11:22:22,13517,101.79,0,34.21,18.28,1094.57,1.93,998.39,80507,29.59,23.60,998.47,158.95,1,40,437,35027,1,21268,32613,34.07,22.23
2026-06-07 11:22:25,16919,101.84,0,34.13,19.40,1095.23,1.93,998.41,82490,29.72,23.58,998.48,158.86,1,39,434,35193,1,21507,32338,34.14,22.04
2026-06-07 11:22:28,20321,101.92,0,34.03,20.53,1096.08,1.93,998.40,82734,29.91,23.89,998.52,158.60,1,34,422,34826,1,21478,32393,34.32,21.97
2026-06-07 11:22:32,23723,102.00,0,33.97,21.37,1097.05,1.94,998.41,83894,30.16,23.41,998.55,158.29,1,19,400,34732,1,21742,33158,34.57,21.86
2026-06-07 11:22:35,27124,102.09,0,33.94,21.65,1098.10,1.94,998.42,85435,30.38,22.07,998.51,158.66,1,23,400,35552,1,21830,33012,34.81,21.16
2026-06-07 11:22:39,30526,102.18,0,34.02,21.85,1099.14,1.95,998.39,87033,30.57,21.90,998.53,158.52,1,23,400,35312,1,21793,33327,34.90,20.97
2026-06-07 11:22:42,33929,102.29,0,34.29,22.22,1100.37,1.95,998.41,86762,30.82,22.08,998.52,158.57,1,25,403,34956,1,22038,33124,35.11,20.87
2026-06-07 11:22:45,37330,102.40,0,34.46,22.60,1101.63,1.96,998.43,87487,31.02,22.17,998.52,158.53,1,35,426,34790,1,22016,32513,35.28,20.91
2026-06-07 11:22:49,40732,102.52,0,34.73,22.49,1102.96,1.96,998.43,87947,31.29,21.52,998.56,158.19,1,29,412,35074,1,21956,32812,35.55,20.65
2026-06-07 11:22:52,44134,102.64,0,35.02,22.26,1104.33,1.97,998.42,88504,31.57,21.41,998.53,158.50,1,35,426,35709,1,21815,32613,35.82,20.46
2026-06-07 11:22:56,47536,102.77,0,35.33,22.05,1105.85,1.98,998.43,88598,31.79,20.92,998.52,158.54,1,33,421,35408,1,22083,32767,36.13,20.27
