Computer Time,Arduino Millis,BME680_IAQ,BME680_Accuracy,BME680_Temperature_C,BME680_Humidity_Percent,BME680_CO2_ppm,BME680_VOC,BME680_Pressure_hPa,BME680_Gas_Ohms,BME280_Temperature_C,BME280_Humidity_Percent,BME280_Pressure_hPa,BME280_Altitude_m,ENS160_AQI,ENS160_TVOC_ppb,ENS160_eCO2_ppm,ENS160_HP0_Ohms,ENS160_HP1_Ohms,ENS160_HP2_Ohms,ENS160_HP3_Ohms,AHT21_Temperature_C,AHT21_Humidity_Percent
2026-06-07 11:52:34,2628,65.21,0,19.12,78.07,674.65,0.74,998.82,208895,19.59,43.18,998.95,154.92,1,24,400,49301,1,43030,48886,24.05,35.18
2026-06-07 11:52:37,6712,36.93,0,18.96,72.29,539.96,0.36,998.81,189213,19.56,43.67,998.94,155.00,1,26,404,53184,1,47068,50296,24.05,35.44
2026-06-07 11:52:41,10114,16.02,0,18.95,66.88,443.97,0.21,998.83,191301,19.54,43.39,998.96,154.87,1,24,400,53636,1,48049,51328,24.04,35.32
2026-06-07 11:52:44,13515,0.77,0,18.97,62.56,400.00,0.16,998.82,192532,19.55,43.25,998.94,155.18,1,35,424,53618,1,47887,51223,24.04,35.49
2026-06-07 11:52:47,16916,0.00,0,19.01,59.39,400.00,0.16,998.80,194694,19.54,43.46,998.94,155.03,1,42,439,55426,1,48671,51085,24.04,35.50
2026-06-07 11:52:51,20318,0.00,0,19.01,56.92,400.00,0.16,998.82,195968,19.51,42.18,998.95,154.95,1,36,427,55239,1,48919,52168,23.99,35.15
2026-06-07 11:52:54,23719,0.00,0,19.01,54.44,400.00,0.16,998.81,200624,19.49,41.19,998.93,155.08,1,44,444,55090,1,48853,51729,23.94,34.79
2026-06-07 11:52:58,27121,0.00,0,19.00,52.49,400.00,0.16,998.80,201237,19.44,41.24,998.93,155.15,1,48,454,55860,1,49301,51624,23.84,34.68
2026-06-07 11:53:01,30523,0.00,0,18.98,51.22,400.00,0.16,998.80,202973,19.43,41.66,998.93,155.14,1,54,464,55916,1,49956,51449,23.79,34.61
2026-06-07 11:53:04,33924,0.00,0,18.97,50.59,400.00,0.16,998.80,203349,19.36,42.77,998.95,154.99,1,50,457,56030,1,50535,52062,23.74,34.87
2026-06-07 11:53:08,37325,0.00,0,18.98,50.31,400.00,0.16,998.81,203224,19.28,43.13,998.94,155.02,1,55,467,55577,1,49940,51694,23.58,35.12
2026-06-07 11:53:11,40727,0.00,0,19.02,49.95,400.00,0.16,998.81,203099,19.20,43.11,998.92,155.19,1,45,447,56468,1,49923,52736,23.59,35.37
2026-06-07 11:53:15,44129,0.00,0,19.04,49.83,400.00,0.16,998.83,201607,19.16,44.21,998.92,155.18,1,47,451,56106,1,50689,52576,23.65,35.67
2026-06-07 11:53:18,47531,0.00,0,19.07,49.85,400.00,0.16,998.82,200502,19.15,44.12,998.94,155.01,1,45,447,56144,1,51120,52772,23.63,35.89
2026-06-07 11:53:21,50932,0.00,0,19.08,49.73,400.00,0.16,998.82,200746,19.09,44.01,998.94,155.00,1,45,446,55935,1,51223,52826,23.69,35.90
2026-06-07 11:53:25,54333,0.00,0,19.10,49.37,400.00,0.16,998.81,199894,19.03,42.89,998.90,155.40,1,46,448,57490,1,51992,52701,23.65,35.51
2026-06-07 11:53:28,57735,0.00,0,19.10,48.74,400.00,0.16,998.79,203099,19.02,42.58,998.93,155.10,1,39,435,57218,1,52168,53455,23.55,35.32
2026-06-07 11:53:32,61136,0.00,0,19.07,48.31,400.00,0.16,998.81,204486,18.97,42.32,998.91,155.32,1,51,458,57257,1,53095,52398,23.44,35.10
2026-06-07 11:53:35,64538,0.00,0,19.04,47.96,400.00,0.16,998.82,207187,18.93,42.43,998.90,155.38,1,46,448,57296,1,52790,52987,23.39,35.10
2026-06-07 11:53:38,67940,0.00,0,19.04,47.71,400.00,0.16,998.82,207318,18.83,41.82,998.88,155.50,1,53,463,59148,1,52915,52310,23.20,34.69
2026-06-07 11:53:42,71342,0.00,0,19.04,47.19,400.00,0.16,998.83,209028,18.75,41.18,998.86,155.72,1,35,426,58828,1,54239,54294,23.20,34.48
2026-06-07 11:53:45,74743,0.00,0,19.03,46.65,400.00,0.16,998.78,210363,18.69,40.71,998.92,155.22,1,42,441,58749,1,53928,53618,23.17,34.07
2026-06-07 11:53:49,78145,0.00,0,19.03,46.14,400.00,0.16,998.78,212125,18.70,40.90,998.92,155.22,1,54,466,59389,1,54404,52451,23.18,34.02
2026-06-07 11:53:52,81546,0.00,0,19.01,45.86,400.00,0.16,998.80,213777,18.68,40.99,998.93,155.11,1,36,428,59751,1,54441,54533,23.12,33.75
2026-06-07 11:53:55,84947,0.00,0,19.03,45.67,400.00,0.16,998.79,214055,18.68,42.06,998.91,155.26,1,39,435,59449,1,55071,54239,23.06,34.17
2026-06-07 11:53:59,88349,0.00,0,19.00,46.06,400.00,0.16,998.80,213916,18.63,43.64,998.89,155.49,1,56,469,58888,1,55520,52523,23.06,34.76
2026-06-07 11:54:02,91751,0.00,0,18.99,46.66,400.00,0.16,998.80,213223,18.56,44.37,998.89,155.47,1,53,463,59570,1,54367,52736,23.02,35.23
2026-06-07 11:54:06,95153,0.00,0,19.00,47.17,400.00,0.16,998.82,211308,18.59,44.56,998.92,155.21,1,48,453,59328,1,54829,53112,23.10,35.62
2026-06-07 11:54:09,98554,0.00,0,19.00,47.37,400.00,0.16,998.83,211444,18.60,43.58,998.92,155.23,1,46,449,58908,1,55633,53238,23.05,35.29
2026-06-07 11:54:12,101956,0.00,0,18.96,47.24,400.00,0.16,998.81,211579,18.57,42.54,998.90,155.33,1,45,446,59751,1,55860,53347,22.96,35.12
2026-06-07 11:54:16,105358,0.00,0,18.92,47.09,400.00,0.16,998.82,212810,18.55,43.43,998.91,155.29,1,39,434,59389,1,55860,54001,23.00,35.44
2026-06-07 11:54:19,108759,0.00,0,18.88,47.32,400.00,0.16,998.81,213361,18.55,43.75,998.92,155.16,1,44,444,58809,1,55860,53528,22.92,35.53
2026-06-07 11:54:23,112160,0.00,0,18.86,47.73,400.00,0.16,998.85,211579,18.57,45.08,998.89,155.45,1,54,466,59368,1,55426,52398,22.91,36.21
2026-06-07 11:54:26,115562,0.00,0,18.82,48.54,400.00,0.16,998.83,210363,18.62,45.90,998.94,155.06,1,44,444,58809,1,54386,53473,22.96,36.71
2026-06-07 11:54:29,118964,0.00,0,18.85,49.03,400.00,0.16,998.83,207972,18.68,45.91,998.93,155.13,1,47,451,58968,1,55502,52933,23.06,36.96
2026-06-07 11:54:33,122365,0.00,0,18.83,49.50,400.00,0.16,998.84,207057,18.71,46.07,998.92,155.20,1,49,455,58570,1,54570,52647,23.02,37.24
2026-06-07 11:54:36,125767,0.00,0,18.82,49.68,400.00,0.16,998.85,206279,18.74,45.62,998.95,154.97,1,47,451,58155,1,54496,52772,23.04,37.28
2026-06-07 11:54:40,129169,0.00,0,18.77,49.55,400.00,0.16,998.82,207710,18.77,44.69,998.94,155.07,1,36,428,60035,1,54404,53928,23.07,37.16
2026-06-07 11:54:43,132571,0.00,0,18.76,49.30,400.00,0.16,998.83,207318,18.80,44.36,998.95,154.96,1,43,443,58709,1,54978,53202,23.14,36.87
