Computer Time,Arduino Millis,BME680_IAQ,BME680_Accuracy,BME680_Temperature_C,BME680_Humidity_Percent,BME680_CO2_ppm,BME680_VOC,BME680_Pressure_hPa,BME680_Gas_Ohms,BME280_Temperature_C,BME280_Humidity_Percent,BME280_Pressure_hPa,BME280_Altitude_m,ENS160_AQI,ENS160_TVOC_ppb,ENS160_eCO2_ppm,ENS160_HP0_Ohms,ENS160_HP1_Ohms,ENS160_HP2_Ohms,ENS160_HP3_Ohms,AHT21_Temperature_C,AHT21_Humidity_Percent
2026-06-07 13:49:16,2628,53.78,0,17.26,52.95,624.96,0.58,998.83,188132,17.43,46.81,999.01,154.48,1,24,400,38626,1,30252,52933,21.85,37.11
2026-06-07 13:49:19,6712,53.79,0,17.20,53.19,624.97,0.58,998.80,172325,17.51,47.17,999.00,154.49,1,47,451,41923,1,33553,54037,21.83,37.47
2026-06-07 13:49:22,10114,53.79,0,17.22,53.13,625.02,0.58,998.80,173037,17.51,47.83,999.03,154.30,1,36,427,42094,1,34080,55277,21.84,37.92
2026-06-07 13:49:26,13515,53.80,0,17.19,53.41,625.10,0.58,998.82,174661,17.50,48.10,999.03,154.28,1,32,418,43307,1,34626,55765,21.72,38.14
2026-06-07 13:49:29,16917,53.82,0,17.16,53.62,625.22,0.58,998.79,176502,17.50,48.05,999.01,154.41,1,38,431,43278,1,34579,55709,21.59,38.38
2026-06-07 13:49:33,20319,53.84,0,17.13,53.68,625.36,0.58,998.79,177813,17.49,47.83,998.99,154.64,1,36,428,44692,1,35528,55822,21.45,38.54
2026-06-07 13:49:36,23720,53.87,0,17.10,53.60,625.52,0.58,998.80,179721,17.48,47.48,999.00,154.52,1,33,422,45164,1,36196,56201,21.37,38.58
2026-06-07 13:49:39,27122,53.89,0,17.08,53.45,625.69,0.58,998.81,181081,17.47,47.36,998.97,154.82,1,27,407,44950,1,36245,57063,21.27,38.66
2026-06-07 13:49:43,30524,53.92,0,17.07,53.31,625.88,0.58,998.80,181473,17.48,47.09,998.99,154.63,1,34,423,45748,1,36037,56258,21.36,38.92
2026-06-07 13:49:46,33926,53.95,0,17.06,53.25,626.04,0.58,998.81,183662,17.49,47.18,999.00,154.53,1,40,437,45271,1,36429,55502,21.45,38.94
