Computer Time,Arduino Millis,BME680_IAQ,BME680_Accuracy,BME680_Temperature_C,BME680_Humidity_Percent,BME680_CO2_ppm,BME680_VOC,BME680_Pressure_hPa,BME680_Gas_Ohms,BME280_Temperature_C,BME280_Humidity_Percent,BME280_Pressure_hPa,BME280_Altitude_m,ENS160_AQI,ENS160_TVOC_ppb,ENS160_eCO2_ppm,ENS160_HP0_Ohms,ENS160_HP1_Ohms,ENS160_HP2_Ohms,ENS160_HP3_Ohms,AHT21_Temperature_C,AHT21_Humidity_Percent
2026-06-07 14:16:22,2629,56.23,0,18.43,44.79,641.12,0.63,998.50,197496,17.29,45.18,998.60,157.90,1,24,400,26982,1,13359,20561,20.00,39.88
2026-06-07 14:16:26,6712,56.23,0,18.42,45.28,641.12,0.63,998.49,178381,17.38,44.86,998.64,157.56,1,0,400,38158,1,18880,31061,19.96,39.69
2026-06-07 14:16:29,10114,56.24,0,18.45,45.53,641.16,0.63,998.50,184066,17.41,44.76,998.65,157.43,1,0,400,43720,1,22090,37939,19.99,39.62
2026-06-07 14:16:33,13515,56.25,0,18.47,45.73,641.21,0.63,998.50,186534,17.42,44.94,998.67,157.32,1,18,400,46813,1,25421,41192,19.96,39.53
2026-06-07 14:16:36,16918,56.26,0,18.47,45.99,641.27,0.63,998.48,191524,17.42,44.98,998.62,157.72,1,20,400,49502,1,28282,43868,19.97,39.44
2026-06-07 14:16:39,20320,56.26,0,18.49,46.27,641.32,0.63,998.49,193892,17.42,44.93,998.66,157.37,1,11,400,51781,1,30737,46482,19.95,39.58
2026-06-07 14:16:43,23721,56.27,0,18.49,46.45,641.35,0.63,998.49,196085,17.43,44.80,998.63,157.61,1,26,405,52969,1,33012,47115,19.94,39.44
2026-06-07 14:16:46,27123,56.27,0,18.50,46.47,641.34,0.63,998.46,199048,17.43,44.44,998.61,157.79,1,29,413,55164,1,34591,47952,19.91,39.31
2026-06-07 14:16:50,30525,56.25,0,18.50,46.45,641.26,0.63,998.48,202973,17.44,44.09,998.64,157.55,1,21,400,55822,1,36615,49402,19.98,39.24
2026-06-07 14:16:53,33927,56.24,0,18.52,46.27,641.13,0.63,998.48,204613,17.43,43.75,998.62,157.73,1,23,400,56353,1,37442,50296,20.02,39.00
2026-06-07 14:16:56,37328,54.27,0,18.53,46.12,628.17,0.59,998.47,206927,17.42,43.96,998.64,157.57,1,29,413,56679,1,39219,50228,20.12,39.00
2026-06-07 14:17:00,40730,53.25,0,18.56,46.02,621.42,0.56,998.49,205506,17.43,43.83,998.62,157.74,1,27,408,57861,1,40010,50535,20.21,38.82
2026-06-07 14:17:03,44132,52.31,0,18.57,46.04,615.24,0.55,998.47,206408,17.44,43.95,998.64,157.55,1,26,405,58155,1,40734,51571,20.25,38.70
2026-06-07 14:17:07,47534,50.75,0,18.58,46.07,604.92,0.51,998.46,209560,17.45,43.83,998.62,157.71,1,29,413,58274,1,41513,51206,20.34,38.63
2026-06-07 14:17:10,50935,49.84,0,18.58,46.08,598.92,0.50,998.46,209161,17.45,43.76,998.63,157.63,1,26,406,59409,1,41570,51519,20.40,38.46
2026-06-07 14:17:13,54337,48.94,0,18.58,46.07,592.99,0.48,998.48,210229,17.45,43.49,998.66,157.40,1,37,431,60936,1,42957,51276,20.46,38.31
2026-06-07 14:17:17,57739,47.60,0,18.58,45.99,584.20,0.46,998.48,212810,17.46,43.24,998.62,157.74,1,36,427,60382,1,43661,51467,20.56,38.06
2026-06-07 14:17:20,61140,46.51,0,18.57,45.89,576.99,0.44,998.47,213638,17.47,43.29,998.62,157.74,1,27,408,61184,1,43616,52416,20.58,37.98
2026-06-07 14:17:24,64542,46.79,0,18.56,45.89,578.85,0.44,998.47,210363,17.47,43.65,998.64,157.52,2,99,547,59128,1,43528,45857,20.61,37.97
2026-06-07 14:17:27,67944,47.44,0,18.53,46.12,583.10,0.45,998.48,209028,17.47,43.95,998.65,157.51,2,81,517,59208,1,42566,47211,20.62,37.91
2026-06-07 14:17:30,71346,47.60,0,18.51,46.25,584.17,0.46,998.49,210095,17.47,43.90,998.62,157.76,1,61,480,60076,1,43616,48919,20.61,37.83
2026-06-07 14:17:34,74747,47.24,0,18.47,46.36,581.80,0.45,998.50,211852,17.46,43.82,998.65,157.47,1,57,471,60936,1,44241,49301,20.58,37.77
2026-06-07 14:17:37,78149,46.47,0,18.46,46.33,576.72,0.44,998.50,213777,17.44,43.65,998.62,157.72,1,33,420,61350,1,45210,51816,20.56,37.69
2026-06-07 14:17:41,81551,45.61,0,18.45,46.35,571.06,0.42,998.49,215033,17.41,43.91,998.64,157.58,1,28,409,61704,1,44905,52416,20.54,37.78
2026-06-07 14:17:44,84953,44.73,0,18.44,46.35,565.26,0.41,998.50,216162,17.40,43.65,998.64,157.58,1,32,418,62207,1,46121,51992,20.54,37.56
2026-06-07 14:17:47,88354,42.88,0,18.39,46.21,553.02,0.38,998.50,220800,17.37,42.87,998.64,157.59,1,24,402,63226,1,46121,53873,20.47,37.22
2026-06-07 14:17:51,91756,41.26,0,18.35,45.85,542.35,0.36,998.48,222440,17.36,42.38,998.65,157.46,1,26,406,64066,1,47403,53691,20.37,36.85
2026-06-07 14:17:54,95158,39.79,0,18.33,45.56,532.68,0.34,998.48,224105,17.35,42.19,998.62,157.69,1,26,405,64044,1,48507,53855,20.38,36.85
2026-06-07 14:17:58,98560,38.42,0,18.33,45.32,523.61,0.32,998.46,225795,17.35,42.22,998.66,157.41,1,27,408,64654,1,48229,54184,20.47,36.63
2026-06-07 14:18:01,101961,37.44,0,18.34,45.17,517.13,0.31,998.48,226260,17.33,42.29,998.63,157.52,1,22,400,64698,1,49771,54885,20.61,36.63
2026-06-07 14:18:04,105363,36.93,0,18.36,45.06,513.78,0.31,998.49,225950,17.31,42.43,998.65,157.47,1,33,421,63720,1,49019,53800,20.71,36.48
2026-06-07 14:18:08,108765,36.61,0,18.37,45.03,511.70,0.30,998.48,226105,17.30,42.32,998.61,157.84,1,29,412,64567,1,48737,54294,20.78,36.35
2026-06-07 14:18:11,112166,35.91,0,18.38,44.92,507.08,0.30,998.48,228141,17.29,41.86,998.61,157.79,1,34,424,64742,1,50792,53673,20.85,36.03
2026-06-07 14:18:15,115568,35.02,0,18.35,44.77,501.20,0.29,998.50,230054,17.27,41.52,998.65,157.50,1,30,414,66159,1,50296,54220,20.92,35.77
2026-06-07 14:18:18,118970,34.18,0,18.31,44.63,495.65,0.28,998.49,231346,17.26,41.60,998.62,157.73,1,27,408,66631,1,50792,54570,20.92,35.58
2026-06-07 14:18:21,122373,33.08,0,18.24,44.62,488.36,0.27,998.48,233810,17.24,41.54,998.63,157.66,1,26,406,65847,1,51659,54737,20.88,35.34
2026-06-07 14:18:25,125774,31.86,0,18.17,44.69,480.37,0.25,998.47,235988,17.21,41.34,998.63,157.62,1,32,419,66857,1,52363,55015,20.87,35.07
